DEPTH,PHIF,SW,VSH,KLOGH
3715.512,0.1333,0.4753,0.747123,0.0
3715.6644,0.142437,0.3866,0.739684,0.0
3715.8168,0.085173,0.4772,0.732244,0.0
3715.9692,0.0,1.0,0.614182,0.0
3716.1216,0.009089,1.0,0.349133,0.0106
3716.274,0.049304,0.7578,0.108794,4.5266
3716.4264,0.029648,1.0,0.074171,6.7005
3716.5788,0.129712,0.4456,0.132274,11.6364
3716.7312,0.141354,0.4283,0.220622,2.0371
3716.8836,0.078207,0.664,0.507781,0.0011
3717.036,0.140613,0.4499,0.693903,0.0001
3717.1884,0.134434,0.503,0.790302,0.0
3717.3408,0.130124,0.5627,0.789952,0.0
3717.4932,0.115649,0.6594,0.789601,0.0
3717.6456,0.128979,0.6342,0.78925,0.0
3717.798,0.108147,0.7304,0.7889,0.0
3717.9504,0.110207,0.7257,0.788549,0.0
3718.1028,0.118248,0.7024,0.788199,0.0
3718.2552,0.107034,0.774,0.787848,0.0
3718.4076,0.098957,0.8332,0.783278,0.0
3718.56,0.113919,0.7544,0.778708,0.0
3718.7124,0.107552,0.784,0.774139,0.0
3718.8648,0.097888,0.8398,0.769569,0.0
3719.0172,0.100527,0.8326,0.764999,0.0
3719.1696,0.071084,1.0,0.760429,0.0
3719.322,0.112738,0.7896,0.755859,0.0
3719.4744,0.129504,0.7129,0.751289,0.0
3719.6268,0.117998,0.754,0.746829,0.0
3719.7792,0.090433,0.9027,0.751546,0.0
3719.9316,0.120847,0.7247,0.737483,0.0
3720.084,0.101689,0.8208,0.7789,0.0
3720.2364,0.094116,0.8688,0.778153,0.0
3720.3888,0.112829,0.762,0.777406,0.0
3720.5412,0.105406,0.8046,0.776658,0.0
3720.6936,0.137507,0.6675,0.775911,0.0
3720.846,0.121569,0.7344,0.775164,0.0
3720.9984,0.112402,0.779,0.774416,0.0
3721.1508,0.113972,0.7723,0.773669,0.0
3721.3032,0.098984,0.862,0.772922,0.0
3721.4556,0.098925,0.8761,0.772175,0.0
3721.608,0.098925,0.8948,0.771427,0.0
3721.7604,0.091963,0.9579,0.756652,0.0
