DEPTH,GR,RT,RHOB,NPHI,DTS
3152.8,9.905,2.985,2.533,0.12,127.848
3152.9,9.396,2.984,2.532,0.12,127.77
3153.0,9.557,2.972,2.529,0.12,127.365
3153.1,8.532,2.956,2.526,0.12,126.877
3153.2,8.203,2.945,2.524,0.12,126.429
3153.3,9.178,3.013,2.523,0.12,126.036
3153.4,10.407,3.013,2.525,0.12,125.881
3153.5,10.198,3.006,2.529,0.121,125.966
3153.6,10.178,3.042,2.533,0.121,126.393
3153.7,9.558,3.05,2.537,0.118,126.448
3153.8,9.3,3.04,2.54,0.118,126.308
3153.9,9.478,3.026,2.543,0.117,125.901
3154.0,9.628,2.999,2.544,0.118,125.412
3154.1,9.554,2.967,2.542,0.119,125.012
3154.2,8.842,2.933,2.537,0.118,124.863
3154.3,8.763,2.891,2.531,0.12,124.936
3154.4,10.26,2.864,2.526,0.123,125.039
3154.5,10.749,2.81,2.523,0.127,125.036
3154.6,12.322,2.771,2.522,0.128,125.123
3154.7,12.636,2.733,2.523,0.128,125.428
3154.8,11.103,2.706,2.524,0.127,126.471
3154.9,11.453,2.688,2.525,0.129,126.792
3155.0,11.344,2.679,2.527,0.129,126.864
3155.1,10.801,2.681,2.526,0.128,127.486
3155.2,10.762,2.668,2.525,0.128,127.907
