DEPTH,GR,RT,RHOB,NPHI,DT
3045.8664,37.0746002,6.16219997,2.40739989,0.0584,69.5221023
3046.0188,36.2921981,6.05340003,2.43350005,0.06319999,66.6390991
3046.1712,34.0051002,5.90240001,2.40149998,0.06729999,64.4381027
3046.3236,31.0860996,5.45200014,2.40849995,0.06909999,66.0
3046.476,30.6648006,5.12900018,2.42619991,0.0666,65.9111022
3046.6284,35.6603012,5.6388998,2.44379997,0.06509999,65.5162963
3046.7808,39.4519996,5.63549995,2.48379993,0.06419999,66.1023025
3046.9332,38.7598991,5.40560007,2.47169995,0.0599,66.9032974
3047.0856,34.456501,5.33860015,2.47189998,0.05339999,71.0226974
3047.238,29.8523006,5.6163001,2.49169993,0.0463,64.0357971
3047.3904,29.5513,5.95459985,2.52469992,0.0449,61.1288986
3047.5428,30.9356002,6.14319992,2.55139994,0.04549999,60.0147018
3047.6952,32.5606994,6.08290004,2.51620006,0.04839999,68.695198
3047.8476,32.9519004,6.20510005,2.48659992,0.0553,68.2998962
3048.0,34.5769004,6.26739978,2.40269994,0.06419999,71.2077026
3048.1524,34.2458992,6.1631999,2.36290001,0.07029999,72.8899002
3048.3048,37.6764984,5.62849998,2.39199995,0.07039999,68.8849029
3048.4572,37.9774017,5.36829996,2.41479992,0.0678,69.5807037
3048.6096,39.9034004,5.62109994,2.42840003,0.06509999,69.1417999
3048.762,38.4889984,5.84549999,2.3973999,0.05999999,62.6850013
3048.9144,37.4958992,6.00309991,2.42210006,0.05799999,59.0385017
3049.0668,38.6996994,6.03480005,2.4597001,0.05849999,59.5021018
3049.2192,41.4081001,5.8743,2.52800011,0.06409999,63.1254997
3049.3716,43.9057998,5.63269996,2.61059999,0.0728,71.1404037
3049.524,43.2136993,5.05149984,2.6091001,0.08699999,68.7863006
3049.6764,42.3109016,4.5630002,2.60349988,0.0957,71.3995971
3049.8288,45.1095008,4.13859987,2.59559988,0.1084,65.4641036
3049.9812,48.2090988,3.75040006,2.57340002,0.1136,67.6239013
3050.1336,53.1142997,3.30550003,2.54399991,0.1203,67.9153976
3050.286,52.632801,3.25929999,2.50250005,0.1142,72.4251022
3050.4384,52.0309982,3.08949995,2.45580005,0.10589999,71.2674026
3050.5908,44.5979003,3.42560005,2.47580003,0.092,72.6941986
3050.7432,44.086399,3.77819991,2.50950002,0.0784,66.3893966
3050.8956,40.3848991,4.00769996,2.48880004,0.06679999,66.6249008
3051.048,42.3109016,4.56610012,2.46269989,0.06159999,67.7754974
3051.2004,38.0978012,4.70410013,2.45440006,0.0608,63.4920997
3051.3528,37.3755989,4.93249988,2.52589988,0.06219999,64.7438964
3051.5052,35.0583992,4.88570022,2.51939988,0.06369999,67.0037994
3051.6576,35.2691001,4.99109983,2.46889996,0.0687,73.0259017
3051.81,39.1811981,4.91650009,2.4289999,0.07079999,72.7334976
3051.9624,40.6857986,4.82119989,2.42409992,0.07419999,66.1261978
3052.1148,42.3709983,4.64099979,2.46720004,0.0731,67.6770019
3052.2672,41.3779983,4.48769998,2.48639988,0.07729999,71.1811981
3052.4196,42.4011001,4.40700006,2.50559997,0.07859999,69.169403
3052.572,44.2970008,4.31780004,2.46600008,0.08519999,67.7996978
3052.7244,43.4845008,4.18389987,2.5058,0.09019999,68.3550033
3052.8768,44.6581001,3.97900009,2.50620007,0.0969,69.5730972
3053.0292,47.8781013,3.55890011,2.51810002,0.10239999,67.0541992
3053.1816,52.6930007,3.2479999,2.47510004,0.107,67.1649017
3053.334,56.0334014,3.03239989,2.47849988,0.1145,69.8635025
3053.4864,56.1537017,2.98699998,2.4972999,0.11689999,71.2033996
3053.6388,55.5518989,2.90980005,2.44569993,0.119,71.4692001
3053.7912,52.5424995,2.90249991,2.43409991,0.11519999,73.0552978
3053.9436,49.1119003,2.88829994,2.40490007,0.1061,71.9590988
3054.096,47.7276,3.12660002,2.38059997,0.0904,69.0344009
3054.2484,43.9961013,3.54110002,2.34850001,0.0811,67.3298034
3054.4008,42.1002006,4.2644,2.37039995,0.07739999,66.5770034
3054.5532,37.2551994,4.47209978,2.43449997,0.08429999,68.9178009
3054.7056,36.1717987,4.41349983,2.47140002,0.09329999,67.7321014
3054.858,37.6764984,4.25860023,2.42639994,0.1027,67.685997
